Video;Base;Forms;FormsOrder;PigLitter;VideoName;Treatment;Timepoint;Categoria (Experient ou Student);Observers;Posture;Interaction;Activity;Attention;Miscellaneous;Lift.Pelvic.Limb;Scratching.Rubbing;Walk.Away.Run;Sit.With.Difficulty;Continuously.Balances;Bite.Grill;Head.Down;Difficulty.Overcoming;UPAPS;Analgesia
30;Monique;3;10;506;11 yellow;C;Post-castration;Student;S7;Posture.3;Interaction.1;Activity.1;Attention.0;Miscelanneous.0;Lift.Pelvic.Limb.0;Scratching.Rubbing.0;Walk.Away.Run.0;Sit.With.Difficulty.0;Continuously.Balances.0;Bite.Grill.0;Head.Down.0;Difficulty.Overcoming.0;5;1
31;Stelio;4;1;37;Su’no 37 v’deo 2;NA;Pre-castration;Student;S7;Posture.0;Interaction.1;Activity.0;Attention.1;Miscelanneous.1;Lift.Pelvic.Limb.0;Scratching.Rubbing.0;Walk.Away.Run.0;Sit.With.Difficulty.1;Continuously.Balances.0;Bite.Grill.1;Head.Down.0;Difficulty.Overcoming.0;3;0
32;Monique;4;2;607;157 green;CF;Pre-castration;Student;S7;Posture.1;Interaction.0;Activity.0;Attention.0;Miscelanneous.0;Lift.Pelvic.Limb.0;Scratching.Rubbing.0;Walk.Away.Run.0;Sit.With.Difficulty.0;Continuously.Balances.0;Bite.Grill.0;Head.Down.0;Difficulty.Overcoming.0;1;0
33;Stelio;4;3;40;Su’no 40 v’deo 1;NA;Post-castration;Student;S7;Posture.2;Interaction.0;Activity.0;Attention.0;Miscelanneous.1;Lift.Pelvic.Limb.0;Scratching.Rubbing.0;Walk.Away.Run.0;Sit.With.Difficulty.0;Continuously.Balances.0;Bite.Grill.0;Head.Down.1;Difficulty.Overcoming.0;3;0
34;Monique;4;4;506;107 yellow;C;Pre-castration;Student;S7;Posture.2;Interaction.1;Activity.1;Attention.0;Miscelanneous.2;Lift.Pelvic.Limb.0;Scratching.Rubbing.0;Walk.Away.Run.0;Sit.With.Difficulty.0;Continuously.Balances.0;Bite.Grill.1;Head.Down.1;Difficulty.Overcoming.0;6;1
35;Stelio;4;5;25;Su’no 25 v’deo 2;NA;Pre-castration;Student;S7;Posture.0;Interaction.0;Activity.0;Attention.1;Miscelanneous.2;Lift.Pelvic.Limb.0;Scratching.Rubbing.0;Walk.Away.Run.0;Sit.With.Difficulty.1;Continuously.Balances.0;Bite.Grill.1;Head.Down.1;Difficulty.Overcoming.0;3;0
36;Monique;4;6;108;146 yellow;CF;Pre-castration;Student;S7;Posture.0;Interaction.2;Activity.1;Attention.0;Miscelanneous.0;Lift.Pelvic.Limb.0;Scratching.Rubbing.0;Walk.Away.Run.0;Sit.With.Difficulty.0;Continuously.Balances.0;Bite.Grill.0;Head.Down.0;Difficulty.Overcoming.0;3;0
37;Stelio;4;7;29;Su’no 29 v’deo 1;NA;Post-castration;Student;S7;Posture.2;Interaction.2;Activity.1;Attention.0;Miscelanneous.1;Lift.Pelvic.Limb.0;Scratching.Rubbing.0;Walk.Away.Run.0;Sit.With.Difficulty.0;Continuously.Balances.0;Bite.Grill.0;Head.Down.1;Difficulty.Overcoming.0;6;1
38;Monique;4;8;803;164 orange;CF;Pre-castration;Student;S7;Posture.1;Interaction.0;Activity.0;Attention.0;Miscelanneous.1;Lift.Pelvic.Limb.0;Scratching.Rubbing.0;Walk.Away.Run.0;Sit.With.Difficulty.0;Continuously.Balances.0;Bite.Grill.0;Head.Down.1;Difficulty.Overcoming.0;2;0
39;Stelio;4;9;34;Su’no 34 v’deo 3;NA;Pre-castration;Student;S7;Posture.3;Interaction.0;Activity.0;Attention.2;Miscelanneous.1;Lift.Pelvic.Limb.0;Scratching.Rubbing.1;Walk.Away.Run.0;Sit.With.Difficulty.1;Continuously.Balances.0;Bite.Grill.0;Head.Down.1;Difficulty.Overcoming.0;6;1
